,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 Max Points,Homework 2,Homework 2 Max Points,Homework 3,Homework 3 Max Points,Homework 4,Homework 4 Max Points,Homework 5,Homework 5 Max Points,Homework 6,Homework 6 Max Points,Homework 7,Homework 7 Max Points,Homework 8,Homework 8 Max Points,Homework 9,Homework 9 Max Points,Homework 10,Homework 10 Max Points,Exam 1,Exam 1 Max Points,Exam 2,Exam 2 Max Points,Exam 3,Exam 3 Max Points,Quiz 3,Quiz 1,Quiz 4,Quiz 2,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
cxr98775,carol.reyes@dci-student.edu,3,Carol,Reyes,75.0,80,80,80,66,80,62,100,60,70,66,90,37,50,65,70,44,60,51,60,99,100,91,100,90,100,8,5,14,15,6,0.99,0.91,0.9,,,,0.6956521739130435,0.6850267379679145,0.6956521739130435,0.484195652173913,49,F
jxr10806,jason.reyes@dci-student.edu,3,Jason,Reyes,67.0,80,66,80,65,80,68,100,57,70,70,90,34,50,64,70,57,60,44,60,70,100,81,100,86,100,13,9,6,13,4,0.7,0.81,0.86,,,,0.6521739130434783,0.6422918258212376,0.6521739130434783,0.4406521739130435,45,F
kpr82051,kimberly.rhodes@dci-student.edu,3,Kimberly,Rhodes,60.0,80,61,80,60,80,79,100,42,70,86,90,34,50,48,70,48,60,47,60,61,100,62,100,97,100,16,9,12,13,6,0.61,0.62,0.97,,,,0.8115942028985508,0.7966335625159154,0.8115942028985508,0.48147826086956524,49,F
jsr21334,john.rodriguez@dci-student.edu,3,John,Rodriguez,78.0,80,76,80,63,80,61,100,52,70,61,90,41,50,55,70,37,60,60,60,92,100,68,100,89,100,12,6,11,12,7,0.92,0.68,0.89,,,,0.6956521739130435,0.6840769034886682,0.6956521739130435,0.45619565217391306,46,F
sxs30610,stephanie.sampson@dci-student.edu,3,Stephanie,Sampson,77.0,80,50,80,57,80,81,100,69,70,84,90,39,50,54,70,46,60,59,60,87,100,100,100,75,100,6,10,12,10,4,0.87,1.0,0.75,,,,0.6086956521739131,0.6238349885408709,0.6238349885408709,0.44315049656226124,45,F
fxs77894,felicia.simpson@dci-student.edu,3,Felicia,Simpson,59.0,80,66,80,77,80,73,100,60,70,90,90,36,50,63,70,53,60,41,60,63,100,90,100,99,100,13,11,9,7,12,0.63,0.9,0.99,,,,0.7536231884057971,0.7748459383753501,0.7748459383753501,0.502453781512605,51,F
cjs43553,crystal.smith@dci-student.edu,3,Crystal,Smith,63.0,80,80,80,59,80,90,100,48,70,66,90,48,50,64,70,52,60,58,60,85,100,88,100,60,100,8,6,14,14,5,0.85,0.88,0.6,,,,0.6811594202898551,0.6732085561497325,0.6811594202898551,0.42484782608695654,43,F
ajt73762,amy.terry@dci-student.edu,3,Amy,Terry,71.0,80,54,80,76,80,93,100,43,70,89,90,30,50,58,70,54,60,49,60,60,100,81,100,79,100,9,4,5,12,7,0.6,0.81,0.79,,,,0.5362318840579711,0.5267048637636873,0.5362318840579711,0.3903695652173913,40,F
bxt62105,brandon.thomas@dci-student.edu,3,Brandon,Thomas,80.0,80,49,80,53,80,77,100,46,70,86,90,33,50,53,70,37,60,51,60,86,100,72,100,65,100,13,7,8,10,4,0.86,0.72,0.65,,,,0.6086956521739131,0.5944996180290297,0.6086956521739131,0.3951086956521739,40,F
hxw92728,heather.webb@dci-student.edu,3,Heather,Webb,56.0,80,48,80,60,80,60,100,47,70,84,90,35,50,45,70,44,60,40,60,100,100,61,100,62,100,16,5,9,11,4,1.0,0.61,0.62,,,,0.6521739130434783,0.6210491469314998,0.6521739130434783,0.39965217391304353,40,F
alw07647,amy.white@dci-student.edu,3,Amy,White,71.0,80,60,80,72,80,95,100,64,70,87,90,40,50,43,70,47,60,41,60,99,100,95,100,99,100,15,7,11,14,4,0.99,0.95,0.99,,,,0.7391304347826086,0.7142195059842119,0.7391304347826086,0.5147391304347826,52,F
lkw48972,levi.wilkerson@dci-student.edu,3,Levi,Wilkerson,52.0,80,80,80,75,80,62,100,43,70,70,90,33,50,42,70,38,60,42,60,71,100,96,100,93,100,8,11,14,13,12,0.71,0.96,0.93,,,,0.8405797101449275,0.867450980392157,0.867450980392157,0.531235294117647,54,F
