,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 Max Points,Homework 2,Homework 2 Max Points,Homework 3,Homework 3 Max Points,Homework 4,Homework 4 Max Points,Homework 5,Homework 5 Max Points,Homework 6,Homework 6 Max Points,Homework 7,Homework 7 Max Points,Homework 8,Homework 8 Max Points,Homework 9,Homework 9 Max Points,Homework 10,Homework 10 Max Points,Exam 1,Exam 1 Max Points,Exam 2,Exam 2 Max Points,Exam 3,Exam 3 Max Points,Quiz 3,Quiz 1,Quiz 4,Quiz 2,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
axd11293,amber.daniels@dci-student.edu,2,Amber,Daniels,54.0,80,57,80,77,80,95,100,47,70,87,90,44,50,58,70,46,60,59,60,68,100,95,100,88,100,16,7,5,15,6,0.68,0.95,0.88,,,,0.7101449275362319,0.6869365928189457,0.7101449275362319,0.47404347826086957,48,F
djd31335,desiree.delgado@dci-student.edu,2,Desiree,Delgado,69.0,80,74,80,74,80,64,100,60,70,55,90,31,50,55,70,55,60,51,60,88,100,69,100,78,100,9,4,8,7,4,0.88,0.69,0.78,,,,0.463768115942029,0.4528953399541635,0.463768115942029,0.36913043478260865,37,F
rxd29805,robert.douglas@dci-student.edu,2,Robert,Douglas,57.0,80,53,80,73,80,78,100,42,70,83,90,41,50,69,70,44,60,39,60,86,100,67,100,87,100,13,8,10,9,8,0.86,0.67,0.87,,,,0.6956521739130435,0.6945861981156098,0.6956521739130435,0.44919565217391305,45,F
axd31221,angela.dunlap@dci-student.edu,2,Angela,Dunlap,49.0,80,73,80,71,80,75,100,62,70,64,90,41,50,66,70,42,60,56,60,82,100,64,100,92,100,11,6,11,11,6,0.82,0.64,0.92,,,,0.6521739130434783,0.6423121976063152,0.6521739130434783,0.4386521739130435,44,F
tce09928,timothy.edwards@dci-student.edu,2,Timothy,Edwards,49.0,80,72,80,60,80,87,100,49,70,84,90,30,50,49,70,39,60,60,60,68,100,73,100,71,100,6,6,5,14,7,0.68,0.73,0.71,,,,0.5507246376811594,0.5544410491469315,0.5544410491469315,0.3798323147440794,38,F
bcf26283,brandon.flores@dci-student.edu,2,Brandon,Flores,62.0,80,52,80,77,80,87,100,45,70,71,90,40,50,45,70,45,60,54,60,96,100,93,100,65,100,11,7,13,15,7,0.96,0.93,0.65,,,,0.7681159420289855,0.759065444359562,0.7681159420289855,0.46893478260869564,47,F
rcf61653,russell.flores@dci-student.edu,2,Russell,Flores,48.0,80,68,80,71,80,77,100,68,70,90,90,30,50,64,70,47,60,56,60,64,100,78,100,98,100,13,7,9,8,12,0.64,0.78,0.98,,,,0.7101449275362319,0.7154519989814108,0.7154519989814108,0.47163559969442326,48,F
dsg54218,desiree.garcia@dci-student.edu,2,Desiree,Garcia,68.0,80,78,80,77,80,95,100,60,70,73,90,35,50,47,70,45,60,55,60,81,100,99,100,70,100,6,8,10,10,6,0.81,0.99,0.7,,,,0.5797101449275363,0.5922332569391393,0.5922332569391393,0.42216997708174175,43,F
hxg56446,heidi.glover@dci-student.edu,2,Heidi,Glover,65.0,80,52,80,60,80,65,100,45,70,81,90,47,50,43,70,51,60,48,60,60,100,83,100,83,100,10,4,7,14,9,0.6,0.83,0.83,,,,0.6376811594202898,0.6270409982174688,0.6376811594202898,0.4288043478260869,43,F
smg03171,sherry.good@dci-student.edu,2,Sherry,Good,50.0,80,48,80,77,80,94,100,54,70,77,90,44,50,62,70,48,60,47,60,89,100,88,100,64,100,7,6,7,12,9,0.89,0.88,0.64,,,,0.5942028985507246,0.6014438502673797,0.6014438502673797,0.4089331550802139,41,F
lxg35058,lori.gordon@dci-student.edu,2,Lori,Gordon,52.0,80,74,80,75,80,79,100,67,70,72,90,50,50,51,70,40,60,38,60,88,100,96,100,76,100,12,9,7,15,7,0.88,0.96,0.76,,,,0.7246376811594203,0.7214795008912657,0.7246376811594203,0.47139130434782606,48,F
bjg14618,benjamin.graham@dci-student.edu,2,Benjamin,Graham,64.0,80,52,80,58,80,87,100,60,70,89,90,41,50,45,70,50,60,37,60,81,100,73,100,81,100,6,7,6,15,7,0.81,0.73,0.81,,,,0.5942028985507246,0.6002419149477973,0.6002419149477973,0.4150725744843392,42,F
chh70562,crystal.holt@dci-student.edu,2,Crystal,Holt,68.0,80,51,80,64,80,91,100,52,70,67,90,37,50,43,70,45,60,39,60,63,100,97,100,73,100,14,9,14,9,9,0.63,0.97,0.73,,,,0.7971014492753623,0.7983422459893048,0.7983422459893048,0.47750267379679145,48,F
mjj83180,margaret.james@dci-student.edu,2,Margaret,James,67.0,80,63,80,48,80,81,100,62,70,89,90,36,50,57,70,48,60,51,60,85,100,90,100,97,100,9,8,7,11,11,0.85,0.9,0.97,,,,0.6666666666666666,0.6813368983957219,0.6813368983957219,0.4824010695187166,49,F
jxj82678,jamie.johnson@dci-student.edu,2,Jamie,Johnson,74.0,80,78,80,76,80,100,100,66,70,85,90,40,50,67,70,36,60,50,60,63,100,71,100,90,100,16,5,9,14,6,0.63,0.71,0.9,,,,0.7246376811594203,0.6943824802648332,0.7246376811594203,0.4548913043478261,46,F
smj00936,stacy.johnson@dci-student.edu,2,Stacy,Johnson,74.0,80,55,80,60,80,67,100,46,70,85,90,43,50,42,70,59,60,48,60,96,100,80,100,86,100,11,6,7,14,7,0.96,0.8,0.86,,,,0.6521739130434783,0.6418360071301248,0.6521739130434783,0.45265217391304347,46,F
txj17476,tara.johnson@dci-student.edu,2,Tara,Johnson,53.0,80,74,80,65,80,82,100,45,70,59,90,48,50,56,70,40,60,57,60,71,100,91,100,95,100,10,6,14,6,12,0.71,0.91,0.95,,,,0.6956521739130435,0.7067379679144385,0.7067379679144385,0.48102139037433156,49,F
mxl12345,malaika.lambert@dci-student.edu,2,Malaika,Lambert,63.0,80,57,80,78,80,83,100,61,70,88,90,42,50,58,70,45,60,37,60,60,100,91,100,93,100,10,8,13,10,6,0.6,0.91,0.93,,,,0.6811594202898551,0.682149223325694,0.682149223325694,0.46514476699770824,47,F
axl60952,aaron.lester@dci-student.edu,2,Aaron,Lester,68.0,80,74,80,77,80,89,100,51,70,87,90,33,50,48,70,42,60,41,60,79,100,63,100,68,100,10,6,8,9,8,0.79,0.63,0.68,,,,0.5942028985507246,0.5943570155334862,0.5943570155334862,0.38280710466004586,39,F
asm59771,ashley.martin@dci-student.edu,2,Ashley,Martin,50.0,80,66,80,80,80,68,100,46,70,86,90,33,50,63,70,51,60,48,60,67,100,72,100,68,100,8,5,13,7,11,0.67,0.72,0.68,,,,0.6376811594202898,0.6474076903488668,0.6474076903488668,0.40172230710466006,41,F
sem28474,stephen.miller@dci-student.edu,2,Stephen,Miller,50.0,80,48,80,63,80,77,100,57,70,81,90,49,50,69,70,55,60,41,60,72,100,70,100,97,100,7,8,13,10,4,0.72,0.7,0.97,,,,0.6086956521739131,0.6135217723453018,0.6135217723453018,0.4355565317035905,44,F
bgm86325,brian.myers@dci-student.edu,2,Brian,Myers,75.0,80,49,80,53,80,65,100,66,70,69,90,49,50,47,70,44,60,53,60,74,100,60,100,92,100,15,9,8,10,7,0.74,0.6,0.92,,,,0.7101449275362319,0.7043926661573721,0.7101449275362319,0.4480434782608696,45,F
cxn83965,cindy.nguyen@dci-student.edu,2,Cindy,Nguyen,51.0,80,59,80,58,80,63,100,52,70,58,90,50,50,66,70,46,60,41,60,82,100,68,100,82,100,6,7,10,10,10,0.82,0.68,0.82,,,,0.6231884057971014,0.6407181054239878,0.6407181054239878,0.4242154316271963,43,F
jxo31236,john.odom@dci-student.edu,2,John,Odom,59.0,80,59,80,60,80,61,100,44,70,62,90,34,50,66,70,52,60,55,60,85,100,100,100,80,100,8,11,9,15,6,0.85,1.0,0.8,,,,0.7101449275362319,0.7226890756302521,0.7226890756302521,0.4793067226890756,48,F
bkr19538,brandy.reilly@dci-student.edu,2,Brandy,Reilly,70.0,80,80,80,55,80,84,100,42,70,79,90,44,50,60,70,45,60,52,60,69,100,67,100,95,100,6,5,14,13,10,0.69,0.67,0.95,,,,0.6956521739130435,0.7014973262032086,0.7014973262032086,0.4544491978609626,46,F
bxr62103,bailey.reyes@dci-student.edu,2,Bailey,Reyes,53.0,80,50,80,55,80,97,100,57,70,75,90,39,50,64,70,41,60,46,60,90,100,72,100,71,100,17,10,6,15,7,0.9,0.72,0.71,,,,0.7971014492753623,0.7841991341991342,0.7971014492753623,0.4626304347826087,47,F
skr62062,steven.roberts@dci-student.edu,2,Steven,Roberts,56.0,80,75,80,76,80,92,100,59,70,74,90,38,50,60,70,59,60,49,60,70,100,80,100,67,100,8,8,9,14,8,0.7,0.8,0.67,,,,0.6811594202898551,0.6881436210847975,0.6881436210847975,0.4219430863254393,43,F
akr14831,alexander.rodriguez@dci-student.edu,2,Alexander,Rodriguez,50.0,80,54,80,74,80,75,100,54,70,59,90,38,50,43,70,38,60,47,60,97,100,97,100,81,100,16,11,11,13,7,0.97,0.97,0.81,,,,0.8405797101449275,0.8353781512605041,0.8405797101449275,0.5191739130434783,52,F
sbr74322,sherry.rogers@dci-student.edu,2,Sherry,Rogers,58.0,80,60,80,49,80,68,100,50,70,75,90,33,50,44,70,55,60,56,60,63,100,92,100,80,100,17,4,9,12,11,0.63,0.92,0.8,,,,0.7681159420289855,0.7446320346320345,0.7681159420289855,0.4739347826086956,48,F
oxr30270,oscar.rush@dci-student.edu,2,Oscar,Rush,50.0,80,56,80,65,80,80,100,42,70,68,90,34,50,67,70,57,60,40,60,74,100,80,100,66,100,7,5,5,14,5,0.74,0.8,0.66,,,,0.5217391304347826,0.514690603514133,0.5217391304347826,0.3725217391304348,38,F
mxs33225,michelle.scott@dci-student.edu,2,Michelle,Scott,52.0,80,55,80,72,80,66,100,44,70,79,90,35,50,52,70,50,60,42,60,87,100,77,100,92,100,12,7,14,15,7,0.87,0.77,0.92,,,,0.7971014492753623,0.7851158645276293,0.7971014492753623,0.4976304347826087,50,F
aes07091,andrea.smith@dci-student.edu,2,Andrea,Smith,80.0,80,71,80,61,80,73,100,61,70,79,90,47,50,62,70,43,60,41,60,66,100,97,100,86,100,7,5,12,10,12,0.66,0.97,0.86,,,,0.6666666666666666,0.6780239368474662,0.6780239368474662,0.46240718105423984,47,F
sxs90647,samantha.smith@dci-student.edu,2,Samantha,Smith,48.0,80,61,80,49,80,70,100,61,70,87,90,36,50,59,70,53,60,44,60,69,100,100,100,74,100,17,6,5,7,6,0.69,1.0,0.74,,,,0.5942028985507246,0.5738528138528138,0.5942028985507246,0.4237608695652174,43,F
lxs77616,leslie.sparks@dci-student.edu,2,Leslie,Sparks,66.0,80,77,80,54,80,66,100,48,70,56,90,38,50,63,70,43,60,50,60,61,100,95,100,90,100,16,7,8,9,8,0.61,0.95,0.9,,,,0.6956521739130435,0.6831270690094219,0.6956521739130435,0.469195652173913,47,F
mxs29840,marcia.stevens@dci-student.edu,2,Marcia,Stevens,51.0,80,72,80,60,80,84,100,68,70,73,90,50,50,65,70,59,60,59,60,63,100,99,100,83,100,17,7,10,15,12,0.63,0.99,0.83,,,,0.8840579710144928,0.8701298701298701,0.8840579710144928,0.5202173913043479,53,F
mat59156,michael.taylor@dci-student.edu,2,Michael,Taylor,58.0,80,60,80,50,80,72,100,46,70,68,90,37,50,49,70,47,60,36,60,91,100,68,100,66,100,13,5,12,15,5,0.91,0.68,0.66,,,,0.7246376811594203,0.6986121721415839,0.7246376811594203,0.4298913043478261,43,F
cxw68726,carol.watkins@dci-student.edu,2,Carol,Watkins,64.0,80,76,80,69,80,88,100,60,70,66,90,36,50,51,70,55,60,57,60,62,100,92,100,98,100,11,6,5,6,5,0.62,0.92,0.98,,,,0.4782608695652174,0.47326457855869625,0.4782608695652174,0.41347826086956524,42,F
hsw06874,holly.watson@dci-student.edu,2,Holly,Watson,66.0,80,51,80,66,80,79,100,53,70,55,90,35,50,61,70,49,60,49,60,81,100,100,100,90,100,10,11,6,12,5,0.81,1.0,0.9,,,,0.6376811594202898,0.6466946778711484,0.6466946778711484,0.4695084033613446,47,F
kxw26270,kimberly.williams@dci-student.edu,2,Kimberly,Williams,72.0,80,80,80,63,80,87,100,57,70,71,90,30,50,43,70,42,60,49,60,82,100,95,100,85,100,11,6,11,6,9,0.82,0.95,0.85,,,,0.6231884057971014,0.6256455309396486,0.6256455309396486,0.4511936592818946,46,F
cxw91147,courtney.wolf@dci-student.edu,2,Courtney,Wolf,80.0,80,79,80,66,80,63,100,56,70,71,90,48,50,43,70,52,60,43,60,88,100,86,100,62,100,9,10,7,15,9,0.88,0.86,0.62,,,,0.7246376811594203,0.7377005347593583,0.7377005347593583,0.44431016042780747,45,F
jxw87000,john.woodard@dci-student.edu,2,John,Woodard,51.0,80,68,80,56,80,71,100,69,70,60,90,33,50,56,70,41,60,60,60,68,100,93,100,62,100,11,11,13,14,8,0.68,0.93,0.62,,,,0.8260869565217391,0.8351260504201681,0.8351260504201681,0.4705378151260504,48,F
