ID,Name,NetID,Email Address,Section
4325951,"Edwards, Timothy Caroline",TCE09928,TIMOTHY.EDWARDS@DCI-STUDENT.EDU,2
8037797,"Webb, Heather",HXW92728,HEATHER.WEBB@DCI-STUDENT.EDU,3
1829060,"Greer, April Blake",ABG77872,APRIL.GREER@DCI-STUDENT.EDU,3
9707878,"Marshall, Shawn Grace",SGM04582,SHAWN.MARSHALL@DCI-STUDENT.EDU,1
7369942,"Sanders, Beth Melissa",BMS82804,BETH.SANDERS@DCI-STUDENT.EDU,1
8902246,"James, Margaret Juan",MJJ83180,MARGARET.JAMES@DCI-STUDENT.EDU,2
8373362,"Jones, Michele",MXJ54725,MICHELE.JONES@DCI-STUDENT.EDU,1
3949000,"Nguyen, Cindy",CXN83965,CINDY.NGUYEN@DCI-STUDENT.EDU,2
5893837,"Watkins, Carol",CXW68726,CAROL.WATKINS@DCI-STUDENT.EDU,2
7187270,"Walsh, Jill",JXW98212,JILL.WALSH@DCI-STUDENT.EDU,1
1994210,"Pena, Jonathan Michael",JMP63760,JONATHAN.PENA@DCI-STUDENT.EDU,1
9107140,"Weber, Samuel",SXW76890,SAMUEL.WEBER@DCI-STUDENT.EDU,1
3769525,"Sparks, Leslie",LXS77616,LESLIE.SPARKS@DCI-STUDENT.EDU,2
2574682,"Foster, Ashlee",AXF16145,ASHLEE.FOSTER@DCI-STUDENT.EDU,3
7831187,"Flores, Brandon Chad",BCF26283,BRANDON.FLORES@DCI-STUDENT.EDU,2
6409860,"Elliott, Richard Gwendolyn",RGE65208,RICHARD.ELLIOTT@DCI-STUDENT.EDU,1
7256989,"Payne, Douglas",DXP49123,DOUGLAS.PAYNE@DCI-STUDENT.EDU,1
9177842,"Leon, Tammy Gregory",TGL37922,TAMMY.LEON@DCI-STUDENT.EDU,3
3049287,"Reyes, Carol",CXR98775,CAROL.REYES@DCI-STUDENT.EDU,3
7331066,"Terry, Amy Justin",AJT73762,AMY.TERRY@DCI-STUDENT.EDU,3
5400422,"King, Paige Mary",PMK49230,PAIGE.KING@DCI-STUDENT.EDU,1
4912187,"Vasquez, Sara",SXV18182,SARA.VASQUEZ@DCI-STUDENT.EDU,1
1142484,"Davidson, Luke",LXD16906,LUKE.DAVIDSON@DCI-STUDENT.EDU,3
1283046,"Rice, Rhonda Kyle",RKR43763,RHONDA.RICE@DCI-STUDENT.EDU,1
2489309,"Miranda, Brett",BXM17365,BRETT.MIRANDA@DCI-STUDENT.EDU,3
8441601,"Dennis, Rachel",RXD55884,RACHEL.DENNIS@DCI-STUDENT.EDU,3
2570154,"Petersen, Kristin Sarah",KSP17362,KRISTIN.PETERSEN@DCI-STUDENT.EDU,1
2213589,"Washington, Travis",TXW75701,TRAVIS.WASHINGTON@DCI-STUDENT.EDU,1
9184901,"Johnston, Robert Stephanie",RSJ94156,ROBERT.JOHNSTON@DCI-STUDENT.EDU,3
2469694,"Benton, Michael",MXB67936,MICHAEL.BENTON@DCI-STUDENT.EDU,3
7566895,"Johnson, Jamie",JXJ82678,JAMIE.JOHNSON@DCI-STUDENT.EDU,2
3215879,"Sampson, Stephanie",SXS30610,STEPHANIE.SAMPSON@DCI-STUDENT.EDU,3
4167411,"Myers, Brian Gary",BGM86325,BRIAN.MYERS@DCI-STUDENT.EDU,2
6506766,"Raymond, Troy Bryan",TBR17292,TROY.RAYMOND@DCI-STUDENT.EDU,3
1830837,"Gordon, Lori",LXG35058,LORI.GORDON@DCI-STUDENT.EDU,2
3137156,"Rush, Oscar",OXR30270,OSCAR.RUSH@DCI-STUDENT.EDU,2
6637567,"Holt, Crystal Heather",CHH70562,CRYSTAL.HOLT@DCI-STUDENT.EDU,2
8190682,"Thomas, Sandra",SXT33634,SANDRA.THOMAS@DCI-STUDENT.EDU,1
8879507,"Bates, Nathan Stephanie",NSB43944,NATHAN.BATES@DCI-STUDENT.EDU,3
9058767,"Campbell, Charles",CXC08121,CHARLES.CAMPBELL@DCI-STUDENT.EDU,2
6035936,"Boyd, Victoria Kimberly",VKB66346,VICTORIA.BOYD@DCI-STUDENT.EDU,2
3091027,"Parker, Timothy",TXP55047,TIMOTHY.PARKER@DCI-STUDENT.EDU,1
7240958,"Cervantes, Scott",SXC85021,SCOTT.CERVANTES@DCI-STUDENT.EDU,3
8014272,"Scott, Michelle",MXS33225,MICHELLE.SCOTT@DCI-STUDENT.EDU,2
1837857,"Bauer, John",JXB40799,JOHN.BAUER@DCI-STUDENT.EDU,1
4682582,"Ortega, Tiffany Maria",TMO55387,TIFFANY.ORTEGA@DCI-STUDENT.EDU,1
1061475,"Rhodes, Kimberly Peter",KPR82051,KIMBERLY.RHODES@DCI-STUDENT.EDU,3
2003671,"Patrick, Mark Jennifer",MJP68159,MARK.PATRICK@DCI-STUDENT.EDU,1
1983467,"Moore, Kimberly Andrea",KAM90876,KIMBERLY.MOORE@DCI-STUDENT.EDU,1
4288557,"Jones, Daniel Carolyn",DCJ14616,DANIEL.JONES@DCI-STUDENT.EDU,1
6600559,"Adams, Amy Robert",ARA97741,AMY.ADAMS@DCI-STUDENT.EDU,1
4587323,"Jones, Sarah",SXJ49423,SARAH.JONES@DCI-STUDENT.EDU,3
8065342,"Garza, Jessica Allison",JAG55224,JESSICA.GARZA@DCI-STUDENT.EDU,1
5824785,"Dudley, Emily Emily",EED42850,EMILY.DUDLEY@DCI-STUDENT.EDU,1
6427493,"Hart, Colleen",CXH80084,COLLEEN.HART@DCI-STUDENT.EDU,1
1791350,"Rodriguez, Alexander Katelyn",AKR14831,ALEXANDER.RODRIGUEZ@DCI-STUDENT.EDU,2
4477527,"Smith, Samantha",SXS90647,SAMANTHA.SMITH@DCI-STUDENT.EDU,2
7308367,"Lester, Aaron",AXL60952,AARON.LESTER@DCI-STUDENT.EDU,2
2858583,"Mccall, Kimberly",KXM62826,KIMBERLY.MCCALL@DCI-STUDENT.EDU,3
3792268,"Baldwin, Lucas",LXB98047,LUCAS.BALDWIN@DCI-STUDENT.EDU,1
3330029,"Reyes, Jason",JXR10806,JASON.REYES@DCI-STUDENT.EDU,3
7761687,"Lee, Michelle",MXL67812,MICHELLE.LEE@DCI-STUDENT.EDU,1
5461012,"Duffy, Erin",EXD72538,ERIN.DUFFY@DCI-STUDENT.EDU,1
3774708,"Johnson, Dylan",DXJ78877,DYLAN.JOHNSON@DCI-STUDENT.EDU,3
2575196,"Odom, John",JXO31236,JOHN.ODOM@DCI-STUDENT.EDU,2
7782005,"Smith, Matthew",MXS33416,MATTHEW.SMITH@DCI-STUDENT.EDU,1
3419285,"Foster, Tommy",TXF41578,TOMMY.FOSTER@DCI-STUDENT.EDU,1
1441344,"Bryan, Bradley",BXB28023,BRADLEY.BRYAN@DCI-STUDENT.EDU,3
4463768,"Underwood, James",JXU45537,JAMES.UNDERWOOD@DCI-STUDENT.EDU,1
9227999,"Smith, Kerry",KXS29884,KERRY.SMITH@DCI-STUDENT.EDU,1
7014488,"Hunt, Brett Caroline",BCH39598,BRETT.HUNT@DCI-STUDENT.EDU,1
7378241,"Patterson, Nicole Jennifer",NJP08545,NICOLE.PATTERSON@DCI-STUDENT.EDU,3
9006041,"Evans, Patricia",PXE53402,PATRICIA.EVANS@DCI-STUDENT.EDU,3
9103057,"Flores, Russell Chad",RCF61653,RUSSELL.FLORES@DCI-STUDENT.EDU,2
1348888,"Taylor, Michael Ashley",MAT59156,MICHAEL.TAYLOR@DCI-STUDENT.EDU,2
8966419,"Warren, Angela",AXW80146,ANGELA.WARREN@DCI-STUDENT.EDU,1
9975979,"Perez, Jeffrey",JXP06435,JEFFREY.PEREZ@DCI-STUDENT.EDU,3
4762255,"Wolf, Courtney",CXW91147,COURTNEY.WOLF@DCI-STUDENT.EDU,2
7648182,"Dunn, Amy",AXD67070,AMY.DUNN@DCI-STUDENT.EDU,3
3042477,"Poole, Melissa",MXP86000,MELISSA.POOLE@DCI-STUDENT.EDU,3
6253243,"Dunlap, Angela",AXD31221,ANGELA.DUNLAP@DCI-STUDENT.EDU,2
7543126,"Wilkerson, Levi Kayla",LKW48972,LEVI.WILKERSON@DCI-STUDENT.EDU,3
1289689,"Gonzalez, Matthew Justin",MJG41514,MATTHEW.GONZALEZ@DCI-STUDENT.EDU,1
8786799,"Nguyen, Donna",DXN21936,DONNA.NGUYEN@DCI-STUDENT.EDU,1
6936009,"Stevens, Marcia",MXS29840,MARCIA.STEVENS@DCI-STUDENT.EDU,2
2685279,"Allen, Christina",CXA22039,CHRISTINA.ALLEN@DCI-STUDENT.EDU,1
3795891,"Mann, Nicole",NXM87406,NICOLE.MANN@DCI-STUDENT.EDU,1
9756042,"Johnson, Tara",TXJ17476,TARA.JOHNSON@DCI-STUDENT.EDU,2
5227994,"Johnson, Paul Mark",PMJ37756,PAUL.JOHNSON@DCI-STUDENT.EDU,3
9804556,"Lee, Danielle Stephanie",DSL24347,DANIELLE.LEE@DCI-STUDENT.EDU,3
1783442,"Edwards, Nicole",NXE44872,NICOLE.EDWARDS@DCI-STUDENT.EDU,3
6345758,"Reyes, Bailey",BXR62103,BAILEY.REYES@DCI-STUDENT.EDU,2
5566719,"Walls, Joyce",JXW53347,JOYCE.WALLS@DCI-STUDENT.EDU,1
