Last Name,First Name,Email Address,Grade
Daniels,Amber,amber.daniels@dci-student.edu,5
Greer,April,april.greer@dci-student.edu,13
Payne,Douglas,douglas.payne@dci-student.edu,12
Myers,Brian,brian.myers@dci-student.edu,8
Miranda,Brett,brett.miranda@dci-student.edu,11
Miller,Stephen,stephen.miller@dci-student.edu,13
Johnson,Paul,paul.johnson@dci-student.edu,11
Wilkerson,Levi,levi.wilkerson@dci-student.edu,14
Bates,Nathan,nathan.bates@dci-student.edu,11
Parker,Timothy,timothy.parker@dci-student.edu,14
Davidson,Luke,luke.davidson@dci-student.edu,8
Flower,John,john.g.2.flower@dci-student.edu,13
Brown,Kelsey,kelsey.brown@dci-student.edu,14
Stevens,Marcia,marcia.stevens@dci-student.edu,10
Odom,John,john.odom@dci-student.edu,9
Terry,Thomas,thomas.terry@dci-student.edu,8
Anderson,Lauren,lauren.anderson@dci-student.edu,11
Martin,Ashley,ashley.martin@dci-student.edu,13
Mccall,Kimberly,kimberly.mccall@dci-student.edu,12
Miller,Anthony,anthony.miller@dci-student.edu,7
Miller,Jorge,jorge.miller@dci-student.edu,14
Lee,Danielle,danielle.lee@dci-student.edu,5
Mann,Nicole,nicole.mann@dci-student.edu,11
Walsh,Jill,jill.walsh@dci-student.edu,9
Reid,Laura,laura.reid@dci-student.edu,8
Reilly,Brandy,brandy.reilly@dci-student.edu,14
Lopez,Mark,mark.lopez@dci-student.edu,7
Reyes,Jason,jason.reyes@dci-student.edu,6
Bailey,Belinda,belinda.bailey@dci-student.edu,14
Roberts,Steven,steven.roberts@dci-student.edu,9
Barrera,Woody,woody.barrera_jr@dci-student.edu,7
Taylor,Michael,michael.taylor@dci-student.edu,12
Clark,Jill,jill.clark@dci-student.edu,11
Smith,Kerry,kerry.smith@dci-student.edu,5
Smith,Andrea,andrea.smith@dci-student.edu,12
Faulkner,Katelyn,katelyn.faulkner@dci-student.edu,14
Edwards,Nicole,nicole.edwards@dci-student.edu,12
Edwards,Timothy,timothy.edwards@dci-student.edu,5
Curry,Alec,alec.curry@dci-student.edu,12
Thomas,Sandra,sandra.thomas@dci-student.edu,8
Garza,Jessica,jessica.garza@dci-student.edu,11
Rhodes,Kimberly,kimberly.rhodes@dci-student.edu,12
Webb,Heather,heather.webb@dci-student.edu,9
Dunlap,Angela,angela.dunlap@dci-student.edu,11
Woodard,John,john.woodard@dci-student.edu,13
Johnson,Jamie,jamie.johnson@dci-student.edu,9
Patrick,Mark,mark.patrick@dci-student.edu,8
Evans,Patricia,patricia.evans@dci-student.edu,12
Smith,Matthew,matthew.smith@dci-student.edu,7
